City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lata,PT,40.1629,-8.3327,41.07,87,37,1.07,scattered clouds
1,Kirakira,SB,-10.4544,161.9205,84.02,73,94,13.6,light rain
2,Khatanga,RU,71.9667,102.5,-31.22,100,35,6.89,scattered clouds
3,Kilindoni,TZ,-7.9139,39.6668,79.95,77,97,7.09,overcast clouds
4,Turukhansk,RU,65.8167,87.9833,-16.46,79,100,7.85,overcast clouds
5,College,US,64.8569,-147.8028,-8.93,76,40,0.0,haze
6,Faanui,PF,-16.4833,-151.75,80.82,72,18,14.41,light rain
7,Mahebourg,MU,-20.4081,57.7,78.26,94,75,20.71,moderate rain
8,Avarua,CK,-21.2078,-159.775,78.85,89,75,6.91,light rain
9,East London,ZA,-33.0153,27.9116,77.7,83,70,16.4,broken clouds
10,Bahia Honda,CU,22.9036,-83.1592,71.6,80,26,7.87,scattered clouds
11,Rikitea,PF,-23.1203,-134.9692,78.12,69,79,2.57,broken clouds
12,Jesup,US,31.6074,-81.8854,69.94,78,100,0.0,overcast clouds
13,Valparaiso,CL,-33.0393,-71.6273,68.23,88,0,8.05,clear sky
14,Kollam,IN,8.8833,76.6,70.92,78,10,11.99,clear sky
15,Lompoc,US,34.6391,-120.4579,59.14,66,20,12.66,few clouds
16,Busselton,AU,-33.65,115.3333,67.42,54,8,15.35,clear sky
17,Coihaique,CL,-45.5752,-72.0662,84.81,20,0,0.0,clear sky
18,Bluff,NZ,-46.6,168.3333,63.68,67,23,2.98,few clouds
19,Castro,BR,-24.7911,-50.0119,62.29,93,93,1.61,moderate rain
20,Chifeng,CN,42.2683,118.9636,6.89,85,4,3.02,clear sky
21,Jamestown,US,42.097,-79.2353,35.24,60,100,6.91,mist
22,Vila Franca Do Campo,PT,37.7167,-25.4333,52.21,79,21,4.63,few clouds
23,Alekseyevka,RU,50.6309,38.6903,34.09,91,100,18.45,snow
24,Bereda,ES,43.2686,-7.5406,36.14,100,83,2.17,broken clouds
25,Ribeira Grande,PT,38.5167,-28.7,53.78,85,9,5.99,clear sky
26,Cape Town,ZA,-33.9258,18.4232,69.1,82,20,2.3,few clouds
27,Upernavik,GL,72.7868,-56.1549,-16.53,71,100,4.74,overcast clouds
28,Hermanus,ZA,-34.4187,19.2345,68.81,88,30,5.01,scattered clouds
29,Victoria,HK,22.2855,114.1577,59.25,78,50,11.01,scattered clouds
30,Port Lincoln,AU,-34.7333,135.8667,61.77,56,100,15.5,overcast clouds
31,Carnarvon,AU,-24.8667,113.6333,83.35,59,18,4.97,few clouds
32,Saldanha,ZA,-33.0117,17.9442,68.05,98,50,6.44,scattered clouds
33,Kapaa,US,22.0752,-159.319,80.92,72,20,8.05,few clouds
34,Bredasdorp,ZA,-34.5322,20.0403,69.44,80,35,5.64,scattered clouds
35,Pevek,RU,69.7008,170.3133,-28.62,100,100,6.6,overcast clouds
36,Norman Wells,CA,65.282,-126.8329,-3.96,84,75,0.0,broken clouds
37,Port Alfred,ZA,-33.5906,26.891,75.18,80,100,5.44,overcast clouds
38,Gouyave,GD,12.1646,-61.7296,75.97,83,20,13.8,few clouds
39,Punta Arenas,CL,-53.15,-70.9167,66.31,52,0,19.57,clear sky
40,Arcata,US,40.8665,-124.0828,45.25,95,100,6.91,mist
41,Mar Del Plata,AR,-38.0023,-57.5575,73.42,90,100,20.0,light rain
42,Constitucion,CL,-35.3333,-72.4167,58.62,86,10,6.51,clear sky
43,Lorengau,PG,-2.0226,147.2712,83.66,72,95,9.31,overcast clouds
44,Barrow,US,71.2906,-156.7887,-2.18,78,100,20.71,overcast clouds
45,Akureyri,IS,65.6835,-18.0878,15.73,92,75,0.0,light snow
46,Port Elizabeth,ZA,-33.918,25.5701,79.11,85,100,1.99,overcast clouds
47,Hailar,CN,49.2,119.7,-12.14,99,98,2.33,overcast clouds
48,Venezuela,VE,8.0,-66.0,85.01,36,45,9.55,scattered clouds
49,Uvinza,TZ,-5.1036,30.3911,66.31,92,100,1.3,overcast clouds
50,Vaini,TO,-21.2,-175.2,86.16,74,75,8.05,broken clouds
51,Luderitz,NA,-26.6481,15.1594,65.88,86,11,9.08,few clouds
52,Tamiahua,MX,21.2667,-97.45,72.55,87,67,7.7,broken clouds
53,Kimbe,PG,-5.5502,150.1429,79.16,85,100,5.19,light rain
54,Cidreira,BR,-30.1811,-50.2056,74.12,88,100,13.06,overcast clouds
55,Codrington,AU,-38.2667,141.9667,60.78,49,95,15.17,overcast clouds
56,Kaitangata,NZ,-46.2817,169.8464,68.34,67,18,7.27,few clouds
57,Cacoal,BR,-11.4386,-61.4472,71.33,98,100,3.06,moderate rain
58,Kiunga,PG,-6.1219,141.2906,80.65,80,99,4.32,overcast clouds
59,Ushuaia,AR,-54.8,-68.3,60.46,55,20,21.85,few clouds
60,Sitka,US,57.0531,-135.33,39.09,75,100,13.8,light rain
61,Mataura,NZ,-46.1927,168.8643,77.63,38,7,2.95,clear sky
62,Cherskiy,RU,68.75,161.3,-44.82,99,100,3.76,overcast clouds
63,Gelemso,ET,8.8167,40.5167,55.89,46,54,4.47,broken clouds
64,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,78,0,12.66,clear sky
65,Bud,US,39.447,-86.1758,41.02,96,100,15.23,moderate rain
66,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,85,100,2.3,light snow
67,Chabahar,IR,25.2919,60.643,71.22,63,77,11.65,broken clouds
68,New Norfolk,AU,-42.7826,147.0587,57.92,45,42,3.0,scattered clouds
69,Pemba,MZ,-12.974,40.5178,79.5,89,20,4.61,light rain
70,Czersk,PL,53.7959,17.9765,32.47,84,100,3.85,light snow
71,Sao Sebastiao,BR,-23.76,-45.4097,75.85,91,76,2.01,broken clouds
72,Tura,IN,25.5198,90.2201,50.72,68,0,3.62,clear sky
73,Albany,US,42.6001,-73.9662,40.68,80,100,1.99,overcast clouds
74,Severo-Kurilsk,RU,50.6789,156.125,16.34,60,100,27.29,light snow
75,Vardo,NO,70.3705,31.1107,31.98,86,100,23.02,overcast clouds
76,Brits,ZA,-25.6347,27.7802,74.17,59,85,4.83,overcast clouds
77,Changji,CN,44.0167,87.3167,-6.81,84,75,2.24,fog
78,Lagoa,PT,39.05,-27.9833,55.76,68,3,7.23,clear sky
79,Hithadhoo,MV,-0.6,73.0833,81.28,74,18,7.36,few clouds
80,San Patricio,US,28.017,-97.5169,82.49,31,39,8.5,scattered clouds
81,Kodiak,US,57.79,-152.4072,27.91,80,75,3.44,broken clouds
82,Sisimiut,GL,66.9395,-53.6735,-2.99,65,97,10.4,overcast clouds
83,Bambous Virieux,MU,-20.3428,57.7575,78.22,94,75,20.71,moderate rain
84,Abu Samrah,SY,35.3029,37.1841,47.84,85,1,4.56,clear sky
85,Kahului,US,20.8947,-156.47,86.02,56,20,9.22,few clouds
86,Golyshmanovo,RU,56.3979,68.3728,11.07,91,92,7.87,overcast clouds
87,Gorgan,IR,36.8387,54.4348,30.16,93,0,0.0,clear sky
88,Puerto Ayora,EC,-0.7393,-90.3518,76.55,93,83,3.0,broken clouds
89,Coquimbo,CL,-29.9533,-71.3436,64.13,82,40,13.8,scattered clouds
90,Tasiilaq,GL,65.6145,-37.6368,6.96,80,100,5.32,overcast clouds
91,Sorland,NO,67.667,12.6934,35.46,82,100,9.6,overcast clouds
92,Otautau,NZ,-46.15,168.0,78.04,32,18,0.51,few clouds
93,Mahibadhoo,MV,3.7833,72.9667,80.13,80,74,14.63,broken clouds
94,Scarborough,GB,54.2797,-0.4044,31.91,84,37,3.0,scattered clouds
95,Copiapo,CL,-27.3667,-70.3333,64.09,51,0,6.13,clear sky
96,Mirnyy,RU,62.5353,113.9611,-50.64,100,98,1.19,overcast clouds
97,Souillac,MU,-20.5167,57.5167,77.38,94,75,20.71,light rain
98,Sawtell,AU,-30.3833,153.1,84.18,47,31,9.22,scattered clouds
99,Deniliquin,AU,-35.5333,144.9667,68.0,35,0,17.72,clear sky
100,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.5,99,100,0.87,light rain
101,Talnakh,RU,69.4865,88.3972,-28.19,84,98,4.68,overcast clouds
102,Longyearbyen,SJ,78.2186,15.6401,10.24,67,0,10.36,clear sky
103,Butaritari,KI,3.0707,172.7902,81.0,78,18,14.74,light rain
104,Vryburg,ZA,-26.9566,24.7284,71.73,46,7,8.61,clear sky
105,Sawakin,SD,19.1059,37.3321,71.94,67,88,11.48,overcast clouds
106,Yellowknife,CA,62.456,-114.3525,21.72,100,100,13.8,light snow
107,Rassvet,RU,46.8333,40.75,34.12,86,99,12.8,overcast clouds
108,Dikson,RU,73.5069,80.5464,-22.58,84,100,6.02,overcast clouds
109,Ende,ID,-8.8432,121.6623,81.32,78,97,1.39,overcast clouds
110,Hobart,AU,-42.8794,147.3294,58.26,59,40,12.66,scattered clouds
111,Comodoro Rivadavia,AR,-45.8667,-67.5,75.06,60,0,9.22,clear sky
112,Nome,US,64.5011,-165.4064,-9.33,70,0,8.05,clear sky
113,Naze,JP,28.3667,129.4833,52.72,62,99,6.33,overcast clouds
114,Tuatapere,NZ,-46.1333,167.6833,73.98,43,42,0.6,scattered clouds
115,Praia,CV,14.9215,-23.5087,72.14,78,0,23.02,clear sky
116,Ngunguru,NZ,-35.6167,174.5,72.63,62,6,5.39,clear sky
117,Betsiamites,CA,48.9413,-68.646,33.89,79,100,12.41,overcast clouds
118,Kungurtug,RU,50.5994,97.5228,-22.83,96,93,1.97,overcast clouds
119,Hasaki,JP,35.7333,140.8333,39.6,58,100,16.53,overcast clouds
120,Grindavik,IS,63.8424,-22.4338,18.07,73,0,5.75,clear sky
121,Pacific Grove,US,36.6177,-121.9166,56.34,71,0,7.0,clear sky
122,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.22,85,29,9.06,scattered clouds
123,Galesong,ID,-5.3166,119.3661,75.22,77,89,7.36,overcast clouds
124,Pabrade,LT,55.0,25.7833,35.26,96,100,16.82,overcast clouds
125,Lazarev,RU,52.225,141.5131,-29.02,97,35,2.95,scattered clouds
126,Saint George,US,37.1041,-113.5841,48.43,44,0,8.01,clear sky
127,Port Hardy,CA,50.6996,-127.4199,39.38,93,75,8.05,light rain
128,Ust-Omchug,RU,61.15,149.6333,-32.08,98,98,6.13,overcast clouds
129,Vysotsk,RU,60.6288,28.5705,32.92,98,100,8.5,overcast clouds
130,Atuona,PF,-9.8,-139.0333,78.22,78,25,18.25,scattered clouds
131,Komyshnya,UA,50.1859,33.684,45.59,89,100,14.67,overcast clouds
132,Shubarkuduk,KZ,49.1447,56.4872,8.87,78,28,8.55,scattered clouds
133,Rio Grande,BR,-32.035,-52.0986,75.31,74,45,16.06,scattered clouds
134,Baltiysk,RU,54.6538,19.911,38.44,73,100,13.65,overcast clouds
135,Bairiki,KI,1.3292,172.9752,84.2,84,75,9.22,light rain
136,Qaanaaq,GL,77.484,-69.3632,-19.97,95,100,4.99,overcast clouds
137,Entre Rios,BR,-11.9419,-38.0844,71.28,93,32,3.83,scattered clouds
138,Progreso,MX,21.2833,-89.6667,86.11,47,70,7.52,broken clouds
139,Fare,PF,-16.7,-151.0167,80.83,71,5,15.35,light rain
140,Galle,LK,6.0367,80.217,70.18,82,100,9.06,overcast clouds
141,Narsaq,GL,60.9167,-46.05,35.82,83,100,8.57,light rain
142,Belmonte,BR,-15.8631,-38.8828,76.6,84,36,5.32,scattered clouds
143,Maldonado,UY,-34.6667,-54.9167,74.59,79,94,12.73,overcast clouds
144,Ayr,GB,55.4627,-4.6339,33.78,80,40,1.14,light snow
145,Svetlogorsk,BY,52.6333,29.7333,41.59,85,49,13.0,scattered clouds
146,Isilkul,RU,54.9109,71.2728,7.47,91,52,8.32,broken clouds
147,San Cristobal,VE,7.7669,-72.225,73.58,82,64,1.72,broken clouds
148,Chulman,RU,56.8479,124.9104,-67.83,100,94,1.25,overcast clouds
149,Srednekolymsk,RU,67.45,153.6833,-28.59,99,100,5.14,overcast clouds
150,Geraldton,AU,-28.7667,114.6,81.01,54,37,5.75,scattered clouds
151,Marsh Harbour,BS,26.5412,-77.0636,73.0,64,30,9.4,scattered clouds
152,Tabou,CI,4.423,-7.3528,79.45,83,69,6.55,broken clouds
153,Honningsvag,NO,70.9821,25.9704,28.15,74,20,11.5,few clouds
154,Provideniya,RU,64.3833,-173.3,-11.09,58,20,6.71,few clouds
155,Ancud,CL,-41.8697,-73.8203,60.42,76,33,1.32,scattered clouds
156,Yarensk,RU,62.1675,49.0916,27.25,95,100,7.78,light snow
157,Caravelas,BR,-17.7125,-39.2481,75.34,87,7,4.63,clear sky
158,Lieksa,FI,63.3167,30.0167,32.52,97,100,6.4,overcast clouds
159,Port Blair,IN,11.6667,92.75,69.84,88,98,0.0,mist
160,Kununurra,AU,-15.7667,128.7333,80.58,89,75,3.44,broken clouds
161,Los Llanos De Aridane,ES,28.6585,-17.9182,59.13,80,75,12.66,broken clouds
162,Angoche,MZ,-16.2325,39.9086,77.41,85,98,4.92,overcast clouds
163,Ola,RU,59.5833,151.2833,-15.16,83,96,12.88,overcast clouds
164,The Valley,AI,18.217,-63.0578,77.14,83,40,3.44,scattered clouds
165,Lasa,IT,46.6166,10.7002,31.08,92,93,6.89,overcast clouds
166,Chokurdakh,RU,70.6333,147.9167,-35.01,100,21,6.33,few clouds
167,Baykit,RU,61.67,96.37,-45.71,100,67,1.41,broken clouds
168,Ilulissat,GL,69.2167,-51.1,-30.08,66,0,5.82,clear sky
169,Puerto Escondido,MX,15.85,-97.0667,83.23,69,40,11.5,scattered clouds
170,Herford,DE,52.1333,8.6833,35.11,81,66,15.61,broken clouds
171,Alofi,NU,-19.0595,-169.9187,85.89,74,40,10.36,light rain
172,Ushtobe,KZ,45.2514,77.9838,-1.21,90,6,4.99,clear sky
173,Ponta Do Sol,PT,32.6667,-17.1,61.43,69,54,10.25,broken clouds
174,Gornopravdinsk,RU,60.05,69.9,8.13,98,89,4.5,overcast clouds
175,Songea,TZ,-10.6833,35.65,63.5,96,100,2.86,light rain
176,Butembo,CD,0.15,29.2833,60.24,58,75,2.71,broken clouds
177,Carbonear,CA,47.7332,-53.2148,42.42,93,100,8.75,overcast clouds
178,Yanam,IN,16.7333,82.2167,63.84,95,41,1.63,scattered clouds
179,Lebu,CL,-37.6167,-73.65,59.2,82,1,8.34,clear sky
180,Berbera,SO,10.4396,45.0143,73.63,78,46,4.83,scattered clouds
181,Clyde River,CA,70.4692,-68.5914,-21.77,76,75,4.61,broken clouds
182,Guilin,CN,25.2819,110.2864,46.51,37,100,3.76,overcast clouds
183,Chuy,UY,-33.6971,-53.4616,70.43,78,67,10.0,broken clouds
184,Saint-Philippe,RE,-21.3585,55.7679,76.59,90,100,13.13,light rain
185,Nanortalik,GL,60.1432,-45.2371,27.73,77,100,14.38,light snow
186,Bela Vista,BR,-22.1089,-56.5211,74.62,81,32,2.39,scattered clouds
187,Urubicha,BO,-15.3833,-62.95,76.01,75,100,4.05,light rain
188,Rantepao,ID,-2.9701,119.8978,72.36,87,75,0.54,broken clouds
189,Nikolskoye,RU,59.7035,30.7861,33.8,98,100,9.75,snow
190,Thompson,CA,55.7435,-97.8558,15.96,86,100,0.0,overcast clouds
191,San Quintin,MX,30.4833,-115.95,57.36,56,100,7.78,overcast clouds
192,Kudahuvadhoo,MV,2.6708,72.8944,80.11,80,43,12.39,scattered clouds
193,Antofagasta,CL,-23.65,-70.4,69.08,81,15,7.7,few clouds
194,Tianpeng,CN,30.9866,103.9393,30.67,52,1,2.37,clear sky
195,Riacho De Santana,BR,-13.6092,-42.9389,70.93,72,39,6.69,scattered clouds
196,Pringsewu,ID,-5.3582,104.9744,73.92,96,100,1.59,overcast clouds
197,Odesskoye,RU,54.2111,72.9651,6.98,89,28,9.6,scattered clouds
198,Pinega,RU,64.7001,43.3936,26.94,96,100,7.85,overcast clouds
199,Fukuyama,JP,34.4833,133.3667,41.94,67,22,2.55,few clouds
200,High Level,CA,58.5169,-117.136,19.51,100,75,4.61,broken clouds
201,Mantua,IT,45.1667,10.7833,40.98,91,96,4.0,overcast clouds
202,Ambilobe,MG,-13.2,49.05,73.31,95,100,19.53,moderate rain
203,Rosarito,MX,32.3333,-117.0333,62.24,56,92,7.74,overcast clouds
204,Klaksvik,FO,62.2266,-6.589,38.32,73,96,21.43,overcast clouds
205,Hofn,IS,64.2539,-15.2082,27.61,63,42,26.28,scattered clouds
206,Sibolga,ID,1.7427,98.7792,73.89,80,91,3.47,overcast clouds
207,Teya,RU,60.3778,92.6267,-21.91,96,100,1.83,overcast clouds
208,Atar,MR,20.5169,-13.0499,65.28,37,1,8.41,clear sky
209,Gat,IL,31.61,34.7642,58.41,59,0,2.55,clear sky
210,Kruisfontein,ZA,-34.0033,24.7314,76.89,63,97,7.02,overcast clouds
211,Kavaratti,IN,10.5669,72.642,80.24,75,24,11.01,few clouds
212,Bahia Blanca,AR,-38.7196,-62.2724,70.29,91,38,12.08,scattered clouds
213,Ayan,RU,56.45,138.1667,-31.32,74,1,8.25,clear sky
214,Cabo San Lucas,MX,22.8909,-109.9124,73.71,60,20,12.66,few clouds
215,Mogadishu,SO,2.0371,45.3438,76.71,82,92,19.89,overcast clouds
216,Woodward,US,36.4337,-99.3904,49.23,57,0,14.97,clear sky
217,Hilo,US,19.7297,-155.09,82.13,80,75,12.66,broken clouds
218,Berlevag,NO,70.8578,29.0864,28.35,74,99,10.36,overcast clouds
219,Polkowice,PL,51.5039,16.0726,33.12,97,100,7.16,overcast clouds
220,Palana,RU,59.1167,159.9667,-3.05,95,99,11.48,overcast clouds
221,Witu,KE,-2.3889,40.4382,72.0,92,99,5.17,overcast clouds
222,Nago,JP,26.5881,127.9761,58.05,62,68,9.22,broken clouds
223,Belen,TR,36.4891,36.2233,39.34,100,100,2.3,fog
224,Dwarka,IN,22.2394,68.9678,67.21,52,64,8.9,broken clouds
225,Canita,PA,9.2097,-78.8811,74.07,89,33,5.35,scattered clouds
226,Umm Lajj,SA,25.0213,37.2685,70.81,40,35,6.29,scattered clouds
227,Boden,SE,65.8252,21.6886,32.0,91,83,9.75,broken clouds
228,Mackenzie,CA,55.2999,-123.1698,35.82,87,100,11.5,light rain
229,Chardara,KZ,41.2547,67.9692,11.68,90,28,4.18,scattered clouds
230,Hualmay,PE,-11.0964,-77.6139,71.4,76,76,8.95,broken clouds
231,Port Hedland,AU,-20.3167,118.5667,78.85,89,100,6.91,overcast clouds
232,Fort Nelson,CA,58.8053,-122.7002,10.94,90,75,2.3,broken clouds
233,Mount Gambier,AU,-37.8333,140.7667,61.36,46,58,12.06,broken clouds
234,Beringovskiy,RU,63.05,179.3167,-21.91,92,29,5.14,scattered clouds
235,Jaru,BR,-10.4389,-62.4664,70.23,99,100,1.68,light rain
236,Tamandare,BR,-8.7597,-35.1047,76.96,85,37,7.94,scattered clouds
237,Mana,GF,5.6592,-53.7767,74.97,87,46,7.54,scattered clouds
